"Fecha","Estación","Clorofila_a_(lab_µg) (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Conductividad (µS/cm)","Enterococos (Sustrato Definido - Enterolet®) (NMP/100mL)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Floración Algal (sin unid)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","Salinidad (psu)","Standard value a (NO APLICA)","standard value b (NO APLICA)","Temperatura (ºC)","Transparencia (cm)","Turbidez (NTU)"
"2021-03-02 11:00:00","04SF","","140","","","","","0E-9","6.53","6.96","","","","22.3","","2.13"
"2021-03-02 11:00:00","05SF","","140","","","","","0E-9","6.53","6.96","","","","22.3","","2.13"
"2021-03-02 11:15:00","05SF","","40","","","","","0E-9","7.01","6.99","","","","23.5","","1.58"
"2021-03-02 11:15:00","04SF","","40","","","","","0E-9","7.01","6.99","","","","23.5","","1.58"
"2021-03-02 12:18:00","02SL","","610","","","","","0E-9","7.01","7.11","","","","25.8","","5.99"
"2021-03-09 08:23:00","01AC","","","","","","","0E-9","5.8","6.33","","","","22.5","","6.16"
"2021-03-09 08:50:00","06SF","","","","","","","0E-9","5.6","7.16","","","","23","","1.77"
"2021-03-09 09:30:00","05SF","","","","","","","0E-9","4.75","7.45","","","","20.5","","1.35"
"2021-03-09 09:45:00","04SF","","","","","","","0E-9","5.1","7.52","","","","22.4","","1.14"
"2021-03-09 11:30:00","03LP","","","","","","","0E-9","5.75","7.32","","","","24.3","","1.43"
"2021-03-09 13:20:00","02SL","","","","","","","0E-9","6.01","7.01","","","","25.4","","2.45"
"2021-03-16 00:00:00","04SF","","95","","","","","0E-9","5.75","7.41","","","","20.5","","2.18"
"2021-03-16 00:00:00","02SL","","135","","","","","0E-9","5.2","7.25","","","","23.4","","1.72"
"2021-03-16 00:00:00","03LP","","106","","","","","0E-9","5.96","7.41","","","","21.5","","98"
"2021-03-16 00:00:00","05SF","","160","","","","","0E-9","4.92","7.43","","","","21.4","","1.16"
"2021-03-16 08:20:00","01AC","","80","","","","","0E-9","5.6","7.16","","","","22","","4.04"
"2021-03-16 08:55:00","06SF","","150","","","","","0E-9","5.25","7.2","","","","23.5","","1.24"
"2021-03-23 08:45:00","01AC","","260","","","","","0E-9","6.4","","","","","19.8","","16.3"
"2021-03-23 09:20:00","06SF","","430","","","","","0E-9","6","","","","","19.7","","8.19"
"2021-03-23 09:35:00","05SF","","450","","","","","0E-9","","","","","","20.9","","5.52"
"2021-03-23 09:50:00","03LP","","330","","","","","0E-9","6.1","","","","","20.1","","8"
"2021-03-23 11:40:00","04SF","","470","","","","","0E-9","","","","","","21.5","","7.08"
"2021-03-23 12:25:00","02SL","","200","","","","","0E-9","","","","","","22.1","","18.3"
"2021-04-28 10:00:00","02LDM","","50","","","","","","","","","","","","",""
"2021-04-28 10:10:00","01SLC","","300","","","","","","","","","","","","",""
"2021-07-28 10:00:00","02LDM","","120","127.8","","","","0E-9","","","","","","12.5","",""
"2021-07-28 10:10:00","01SLC","","900","144.3","","","","0E-9","","","","","","13","",""
"2021-08-30 10:00:00","02LDM","","98","241","","","","0E-9","","","","","","","",""
"2021-08-30 10:10:00","01SLC","","167","491","","","","0E-9","","","","","","","",""
"2021-09-23 10:25:00","02LDM","","92","227","","","","0E-9","7.4","7.35","","","","16.8","",""
"2021-09-23 10:30:00","01SLC","","118","425","","","","0E-9","9.07","7.68","","","","14.8","",""
"2021-10-19 09:55:00","02LDM","","84","239","","","","0E-9","","7.46","","","","18","",""
"2021-10-19 10:05:00","01SLC","","112","517","","","","0E-9","","7.95","","","","18.7","",""
"2021-11-24 10:30:00","02LDM","","66","235","","","","0E-9","5.94","7.69","","","","22","",""
"2021-11-24 10:35:00","01SLC","","142","713","","","","0E-9","7.39","7.37","","","","23.9","",""
"2021-11-30 12:30:00","01SLC","","1470","771","","","","0E-9","6.52","7.55","","","","22.8","",""
"2021-11-30 12:40:00","02LDM","","120","232","","","","0E-9","6.11","7.06","","","","25.6","",""
"2021-12-06 08:20:00","01SLC","","162","788","","","","0E-9","6.35","7.05","","","","18.1","",""
"2021-12-06 08:25:00","02LDM","","178","236","","","","0E-9","5.7","7.33","","","","19.3","",""
"2021-12-07 08:15:00","02LDM","","125","239","","","","0E-9","5.22","7.38","","","","25","",""
"2021-12-07 08:25:00","01SLC","","76","772","","","","0E-9","5.44","7.29","","","","24","",""
"2021-12-13 10:20:00","02LDM","","936","249","","","","0E-9","","7.34","","","","","",""
"2021-12-13 10:30:00","01SLC","","162","794","","","","0E-9","","7.73","","","","","",""
"2021-12-16 11:00:00","01SLC","","144","803","","","","0E-9","","","","","","25.3","",""
"2021-12-16 11:10:00","02LDM","","76","241","","","","0E-9","","","","","","25.1","",""
"2021-12-20 08:30:00","01SLC","","158","845","","","","0E-9","7.5","7.46","","","","26.5","",""
"2021-12-20 08:35:00","02LDM","","490","245","","","","0E-9","6.4","7.29","","","","26.2","",""
"2021-12-23 07:45:00","01SLC","","122","859","","","","0E-9","4.57","7.05","","","","25.6","",""
"2021-12-23 07:55:00","02LDM","","300","248","","","","0E-9","3.14","7.33","","","","25.2","",""
"2021-12-27 08:20:00","01SLC","","86","897","","","","0E-9","4.48","7.37","","","","25.7","",""
"2021-12-27 08:25:00","02LDM","","1400","254","","","","0E-9","3.12","7.27","","","","26.2","",""
"2021-12-29 10:45:00","01SLC","","106","890","","","","0E-9","4.64","","","","","26.1","",""
"2021-12-29 10:55:00","02LDM","","450","254","","","","0E-9","","","","","","26.2","",""
"2022-01-04 09:00:00","01AC","","10200","","","","","0E-9","3.94","5.7","","","","21","",""
"2022-01-04 09:35:00","06SF","","3200","","","","","0E-9","3.92","5.71","","","","23","",""
"2022-01-04 10:05:00","03LP","","1200","","","","","0E-9","3.82","6.35","","","","22","",""
"2022-01-04 12:30:00","02SL","","980","","","","","0E-9","4.2","5.8","","","","24","",""
"2022-01-10 08:30:00","01AC","","","","","","","0E-9","5.7","6.15","","","","22","","2"
"2022-01-10 09:05:00","06SF","","","","","","","0E-9","6.01","6.24","","","","23","","2.1"
"2022-01-10 10:05:00","03LP","","","","","","","0E-9","4.1","6.4","","","","21","","2.1"
"2022-01-10 12:30:00","02SL","","","","","","","0E-9","4.4","5.9","","","","22","","2.7"
"2022-01-24 08:30:00","01AC","","","","","100","","0E-9","5.2","7.08","","","","21","",""
"2022-01-24 09:05:00","06SF","","","","","400","","0E-9","4.8","6.24","","","","19","",""
"2022-01-24 10:15:00","03LP","","","","","1200","","0E-9","4.5","6.3","","","","21","",""
"2022-01-24 12:15:00","02SL","","","","","300","","","4.6","7.15","","","","18","",""
"2022-01-31 09:15:00","01AC","","500","","","","","0E-9","5.15","7.15","","","","19","",""
"2022-01-31 09:50:00","06SF","","830","","","","","0E-9","4.85","7.44","","","","20","",""
"2022-01-31 10:30:00","03LP","","130","","","","","0E-9","5.9","6.8","","","","20","",""
"2022-01-31 12:30:00","02SL","","590","","","","","0E-9","4.65","7.15","","","","19","",""
"2022-02-01 09:00:00","03LP","","120","","","","","0E-9","5.35","7.4","","","","19","",""
"2022-02-02 08:45:00","03LP","","120","","","","","0E-9","","7.55","","","","18","",""
"2022-02-09 08:15:00","01AC","","30","","","","","0E-9","5.9","7.2","","","","17","",""
"2022-02-09 08:25:00","06SF","","40","","","","","0E-9","7.01","7.4","","","","18","",""
"2022-02-09 10:00:00","03LP","","290","","","","","0E-9","6.93","7.3","","","","19","",""
"2022-02-09 11:45:00","02SL","","60","","","","","0E-9","5.9","6.8","","","","19","",""
"2022-02-14 08:30:00","01AC","","270","","","","","0E-9","9.35","7.6","","","","18","",""
"2022-02-14 09:05:00","06SF","","590","","","","","0E-9","9.05","7.52","","","","18.5","",""
"2022-02-14 10:05:00","03LP","","110","","","","","0E-9","8.7","7.81","","","","19","",""
"2022-02-14 15:15:00","02SL","","320","","","","","0E-9","9","7.82","","","","18","",""
