"Fecha","Estación","Aceites y grasas (mg/L)","Alacloro (µg/L)","Aldrin (µg/L)","Alfa cipermetrina (µg/L)","AMPA (µg/L)","Atrazina (µg/L)","Atrazina desetil (µg/L)","Atrazina desisopropil (µg/L)","Azoxiestrobina (µg/L)","Clordano Cis (µg/L)","Clordano Trans (µg/L)","Clorofila_a_(lab_µg) (µg/L)","Clorpirifos (µg/L)","Clorpirifos Metil (µg/L)","Coliformes Termotolerantes (Fecales) (Membrana Filtrante) (ufc/100ml)","Color (unidad de color)","Compuestos Halogenados adsorbibles (AOX) (µg/L)","Conductividad (µS/cm)","Cromo VI (mg/L)","DBO5 (mg O2/L)","Demanda química de oxigeno (DQO) (mg O2/L)","Diazinon (µg/L)","Dieldrin (µg/L)","Diuron (µg/L)","Endosulfan alfa (µg/L)","Endosulfan beta (µg/L)","Endosulfan sulfato (µg/L)","Endrin (µg/L)","Escherichia coli (Memabrana Filtrante) (ufc/100ml)","Escherichia coli (Sustrato Definido - Colilert®) (NMP/100mL)","Etil Paration (µg/L)","Etion (µg/L)","Feofitina a (µg/L)","Fipronil (µg/L)","Floración Algal (sin unid)","Fluroxipir meptil (µg/L)","Fosfato (ortofosfato) (µg PO4-P/L)","Fósforo total (µg P/L)","Glifosato (µg/L)","Heptacloro (µg/L)","Heptacloro Epoxido (µg/L)","Hexaclorobenceno (µg/L)","Ion Nitrito (mg NO2-N/L)","Lindano (µg/L)","Malathion (µg/L)","Mercurio total (mg/L)","Metil Paration (µg/L)","Metoxicloro (µg/L)","Mirex (µg/L)","Nitrato (mg NO3-N/L)","Nitrógeno Amoniacal (amonio) (mg NH4-N/L)","Nitrógeno total (mg N/L)","o,p' DDD (µg/L)","o,p' DDE (µg/L)","o,p' DDT (µg/L)","Oxigeno disuelto (mg/L)","Potencial de hidrogeno (pH) (sin unid)","p,p' DDD (µg/L)","p,p' DDE (µg/L)","p,p' DDT (µg/L)","Profundidad_Sitio (m)","Saturación de oxígeno (%)","Simazina (µg/L)","Sólidos suspendidos totales (mg/L)","Sólidos totales (mg/L)","Temperatura (ºC)","Transparencia (cm)","Trifloxiestrobina (µg/L)","Trifluralina (µg/L)","Turbidez (NTU)"
"2011-01-26 10:30:00","CG03","","","","","","","","","","","","2.8","","","20","","","269","","","","","","","","","","","","","","","0.05","","","","","622","","","","","0.003","","","","","","","0.242","0.007","","","","","7.1","7.75","","","","","","","","","25.7","","","","80"
"2011-01-26 11:08:00","CA01","","","","","","","","","","","","","","","","130","","1167","","3.8","","","","","","","","","","","","","","","","","","384","","","","","0.016","","","","","","","0.035","0.007","","","","","1.11","7.83","","","","","","","","","26.9","","","","45.3"
"2011-01-26 12:31:00","CA02","","","","","","","","","","","","","","","26000","410","","1871","","19","","","","","","","","","","","","","","","","","","9300","","","","","6200","","","","","","","6.975","15","","","","","0.77","7.82","","","","","","","","","20","","","","33.3"
"2011-01-26 12:40:00","CA04","","","","","","","","","","","","","","","240000","150","","528","","5","","","","","","","","","","","","","","","","","","1200","","","","","0.058","","","","","","","0.85","0.081","","","","","1.92","7.3","","","","","","","","","25.6","","","","40"
"2011-01-26 13:00:00","CG01","","","","","","","","","","","","18.8","","","90000","","","1336","","5","","","","","","","","","","","","","0.05","","","","","662","","","","","0.007","","","","","","","0.035","0.043","","","","","1.86","7.66","","","","","","","","","26.3","","","","5.5"
"2011-03-15 09:56:00","CO01","10","","","","","","","","","","","","","","","50","","4309","0.007","0.8","","","","","","","","","","","","","","","","","","290","","","","","0.033","","","","","","","0.25","0.01","","","","","6.37","7.6","","","","","","","","","22.8","","","","6.2"
"2011-03-15 11:11:00","SJ04","","","","","","","","","","","","","","","","50","","3396","","0.25","","","","","","","","","","","","","","","","","","430","","","","","0.002","","","","","","","0.14","0.01","","","","","5.55","7.54","","","","","","","","","22.4","","","","14"
"2011-03-15 11:20:00","SL06","","","","","","","","","","","","","","","","70","","1359","","0.25","","","","","","","","","","","","","","","","","","326","","","","","0.002","","","","","","","0.1","0.01","","","","","3.61","7.63","","","","","","","","","18.2","","","","15"
"2011-03-15 12:10:00","SJ03","","","","","","","","","","","","","","","","65","","549","","2.2","","","","","","","","","","","","","","","","","","531","","","","","0.002","","","","","","","0.09","0.07","","","","","6.6","7.97","","","","","","","","","21.5","","","","20"
"2011-03-15 12:35:00","SJ05","25","","","","","","","","","","","","","","","250","","16050","0.007","1.3","","","","","","","","","","","","","","","","","","2890","","","","","0.002","","","","","","","0.14","0.01","","","","","3.3","6.66","","","","","","","","","20.7","","","","95"
